kanji	on	kun	en	bg
日	にち じつ	ひ -び -か	Day | Sun | Japan | Counter For Days	ден | слънце | Япония | брояч за дни
一	いち いつ	ひと- ひと.つ	One | One Radical (no.1)	едно | единица
国	こく	くに	Country	държава | страна
会	かい え	あ.う あ.わせる あつ.まる	Meeting | Meet | Party | Association | Interview | Join	среща | събрание | дружество | интервю
人	じん にん	ひと -り -と	Person	човек | лице
年	ねん	とし	Year | Counter For Years	година | брояч за години
大	だい たい	おお- おお.きい -おお.いに	Large | Big	голям
十	じゅう じっ じゅっ	とお と	Ten	десет
二	に じ	ふた ふた.つ ふたたび	Two | Two Radical (no. 7)	две
本	ほん	もと	Book | Present | Main | Origin | True | Real | Counter For Long Cylindrical Things	книга | основа | главен | истински | брояч за дълги тънки предмети
中	ちゅう	なか うち あた.る	In | Inside | Middle | Mean | Center	среда | вътре | център
長	ちょう	なが.い おさ	Long | Leader | Superior | Senior	дълъг | началник | старши
出	しゅつ すい	で.る -で だ.す -だ.す い.でる い.だす	Exit | Leave | Go Out | Come Out | Put Out | Protrude	излизам | изваждам
三	さん ぞう	み み.つ みっ.つ	Three	три
同	どう	おな.じ	Same | Agree | Equal	еднакъв | същият
時	じ	とき -どき	Time | Hour	време | час
政	せい しょう	まつりごと まん	Politics | Government	политика | управление
事	じ ず	こと つか.う つか.える	Matter | Thing | Fact | Business | Reason | Possibly	работа | дело | обстоятелство
自	じ し	みずか.ら おの.ずから おの.ずと	Oneself	себе си | сам
行	こう ぎょう あん	い.く ゆ.く -ゆ.き -ゆき -い.き -いき おこな.う おこ.なう	Going | Journey | Carry Out | Conduct | Act | Line | Row | Bank	отивам | извършвам | ред | банка
社	しゃ	やしろ	Company | Firm | Office | Association | Shrine	фирма | компания | дружество | храм (шинтоистки)
見	けん	み.る み.える み.せる	See | Hopes | Chances | Idea | Opinion | Look At | Visible	гледам | виждам | мнение
月	げつ がつ	つき	Month | Moon	месец | луна
分	ぶん ふん ぶ	わ.ける わ.け わ.かれる わ.かる わ.かつ	Part | Minute Of Time | Segment | Share | Degree | One's Lot | Duty | Understand | Know | Rate | 1% | Chances | Shaku/100	разделям | част | минута
議	ぎ		Deliberation | Consultation | Debate | Consideration	обсъждане | съвещание | дебат
後	ご こう	のち うし.ろ うしろ あと おく.れる	Behind | Back | Later	след | зад | по-късно
前	ぜん	まえ -まえ	In Front | Before	преди | пред
民	みん	たみ	People | Nation | Subjects	народ | поданици
生	せい しょう	い.きる い.かす い.ける う.まれる うま.れる う.まれ うまれ う.む お.う は.える は.やす き なま なま- な.る な.す む.す -う	Life | Genuine | Birth	живот | раждам се | ученик
連	れん	つら.なる つら.ねる つ.れる -づ.れ	Take Along | Lead | Join | Connect | Party | Gang | Clique	свързвам | поредица | група
五	ご	いつ いつ.つ	Five	пет
発	はつ ほつ	た.つ あば.く おこ.る つか.わす はな.つ	Departure | Discharge | Publish | Emit | Start From | Disclose | Counter For Gunshots	тръгвам | излъчвам | публикувам
間	かん けん	あいだ ま あい	Interval | Space	интервал | между | пространство
対	たい つい	あいて こた.える そろ.い つれあ.い なら.ぶ むか.う	Vis-a-vis | Opposite | Even | Equal | Versus | Anti- | Compare	срещу | противоположен | сравнявам
上	じょう しょう しゃん	うえ -うえ うわ- かみ あ.げる -あ.げる あ.がる -あ.がる あ.がり -あ.がり のぼ.る のぼ.り のぼ.せる のぼ.す たてまつ.る	Above | Up	горе | нагоре
部	ぶ	-べ	Section | Bureau | Dept | Class | Copy | Part | Portion | Counter For Copies Of A Newspaper Or Magazine	отдел | част | бюро | екземпляр
東	とう	ひがし	East	изток
者	しゃ	もの	Someone | Person	лице | човек
党	とう	なかま むら	Party | Faction | Clique	партия | фракция
地	ち じ		Ground | Earth	земя | място | терен
合	ごう がっ かっ	あ.う -あ.う あ.い あい- -あ.い -あい あ.わす あ.わせる -あ.わせる	Fit | Suit | Join | 0.1	съчетавам | подхождам | съответствам
市	し	いち	Market | City | Town	град | пазар
業	ぎょう ごう	わざ	Business | Vocation | Arts | Performance	работа | бизнес | занаят
内	ない だい	うち	Inside | Within | Between | Among | House | Home	вътре | в рамките на
相	そう しょう	あい-	Inter- | Mutual | Together | Each Other | Minister Of State | Councillor | Aspect | Phase | Physiognomy	взаимен | министър | фаза
方	ほう	かた -かた -がた	Direction | Person | Alternative	посока | начин | страна
四	し	よ よ.つ よっ.つ よん	Four	четири
定	てい じょう	さだ.める さだ.まる さだ.か	Determine | Fix | Establish | Decide	определям | установявам
今	こん きん	いま	Now	сега | настоящ
回	かい え	まわ.る -まわ.る -まわ.り まわ.す -まわ.す まわ.し- -まわ.し もとお.る か.える	-times | Round | Game | Revolve | Counter For Occurrences	въртя се | път (брой повторения) | брояч за пъти
新	しん	あたら.しい あら.た あら- にい-	New	нов
場	じょう ちょう	ば	Location | Place	място
金	きん こん ごん	かね かな- -がね	Gold	злато | метал | пари
員	いん		Employee | Member | Number | The One In Charge	член | служител
九	きゅう く	ここの ここの.つ	Nine	девет
入	にゅう じゅ	い.る -い.る -い.り い.れる -い.れ はい.る	Enter | Insert	влизам | вкарвам
選	せん	えら.ぶ	Elect | Select | Choose | Prefer	избирам | подбирам
立	りつ りゅう りっとる	た.つ -た.つ た.ち- た.てる -た.てる た.て- たて- -た.て -だ.て -だ.てる	Stand Up | Rise | Set Up | Erect	стоя прав | изправям се | основавам
開	かい	ひら.く ひら.き -びら.き ひら.ける あ.く あ.ける	Open | Unfold | Unseal	отварям
手	しゅ ず	て て- -て た-	Hand	ръка
米	べい まい めえとる	こめ よね	Rice | Usa | Metre	ориз | Америка | метър
力	りょく りき りい	ちから	Power | Strength | Strong | Strain | Bear Up | Exert	сила | мощ
学	がく	まな.ぶ	Study | Learning | Science	учене | наука | учебно заведение
問	もん	と.う と.い とん	Question | Ask | Problem	въпрос | питам
高	こう	たか.い たか -だか たか.まる たか.める	Tall | High | Expensive	висок | скъп
代	だい たい	か.わる かわ.る かわ.り か.わり -がわ.り -が.わり か.える よ しろ	Substitute | Change | Convert | Replace | Period | Age | Counter For Decades Of Ages, Eras, Etc. | Generation | Charge | Rate | Fee	заместник | поколение | такса
明	めい みょう みん	あ.かり あか.るい あか.るむ あか.らむ あき.らか あ.ける -あ.け あ.く あ.くる あ.かす	Bright | Light	светъл | ясен
実	じつ しつ	み みの.る まこと みの みち.る	Reality | Truth	реален | истина | плод
円	えん	まる.い まる まど まど.か まろ.やか	Circle | Yen | Round	кръг | йена | кръгъл
関	かん	せき -ぜき かか.わる からくり かんぬき	Connection | Barrier | Gateway | Involve | Concerning	връзка | засягам | бариера
決	けつ	き.める -ぎ.め き.まる さ.く	Decide | Fix | Agree Upon | Appoint	решавам
子	し す つ	こ -こ ね	Child | Sign Of The Rat | 11pm-1am | First Sign Of Chinese Zodiac	дете | суфикс за съществителни
動	どう	うご.く うご.かす	Move | Motion | Change | Confusion | Shift | Shake	движа се | движение
京	きょう けい きん	みやこ	Capital | 10**16	столица
全	ぜん	まった.く すべ.て	Whole | Entire | All | Complete | Fulfill	цял | всичко
目	もく ぼく	め -め ま-	Eye | Class | Look | Insight | Experience | Care | Favor	око | точка (в списък)
表	ひょう	おもて -おもて あらわ.す あらわ.れる あら.わす	Surface | Table | Chart | Diagram	изразявам | повърхност | таблица
戦	せん	いくさ たたか.う おのの.く そよ.ぐ わなな.く	War | Battle | Match	война | битка | мач
経	けい きょう きん	へ.る た.つ たていと はか.る のり	Sutra | Longitude | Pass Thru | Expire | Warp	минавам през | управлявам | сутра (будистки текст)
通	つう つ	とお.る とお.り -とお.り -どお.り とお.す とお.し -どお.し かよ.う	Traffic | Pass Through | Avenue | Commute | Counter For Letters, Notes, Documents, Etc.	минавам | трафик | пътувам всекидневно
外	がい げ	そと ほか はず.す はず.れる と-	Outside	вън | външен
最	さい しゅ	もっと.も つま	Utmost | Most | Extreme	най- (превъзходна степен) | крайно
言	げん ごん	い.う こと	Say | Word	казвам | дума | реч
氏	し	うじ -うじ	Family Name | Surname | Clan	фамилия | клан | господин (учтиво обръщение)
現	げん	あらわ.れる あらわ.す うつつ うつ.つ	Present | Existing | Actual	настоящ | действителен | появявам се
理	り	ことわり	Logic | Arrangement | Reason | Justice | Truth	причина | принцип | логика
調	ちょう	しら.べる しら.べ ととの.う ととの.える	Tune | Tone | Meter | Key (music) | Writing Style | Prepare | Exorcise | Investigate | Harmonize | Mediate	тон | разследвам | подготвям
体	たい てい	からだ かたち	Body | Substance | Object | Reality | Counter For Images	тяло | форма
化	か け	ば.ける ば.かす ふ.ける け.する	Change | Take The Form Of | Influence | Enchant | Delude | -ization	превръщам се | -изация
田	でん	た	Rice Field | Rice Paddy	оризище
当	とう	あ.たる あ.たり あ.てる あ.て まさ.に まさ.にべし	Hit | Right | Appropriate | Himself	уцелвам | подходящ | текущ
八	はち	や や.つ やっ.つ よう	Eight | Eight Radical (no. 12)	осем
六	ろく りく	む む.つ むっ.つ むい	Six	шест
約	やく	つづ.まる つづ.める つづま.やか	Promise | Approximately | Shrink	обещание | договор | приблизително
主	しゅ す しゅう	ぬし おも あるじ	Lord | Chief | Master | Main Thing | Principal	главен | господар
題	だい		Topic | Subject	тема | заглавие
下	か げ	した しも もと さ.げる さ.がる くだ.る くだ.り くだ.す -くだ.す くだ.さる お.ろす お.りる	Below | Down | Descend | Give | Low | Inferior	долу | надолу
首	しゅ	くび	Neck | Counter For Songs And Poems	врат | глава (лидер) | брояч за песни/стихове
意	い		Idea | Mind | Heart | Taste | Thought | Desire | Care | Liking	мисъл | значение | воля
法	ほう はっ ほっ ふらん	のり	Method | Law | Rule | Principle | Model | System	закон | метод
不	ふ ぶ		Negative | Non- | Bad | Ugly | Clumsy	не-, отрицание | лош | недодялан
来	らい たい	く.る きた.る きた.す き.たす き.たる き こ	Come | Due | Next | Cause | Become	идвам | следващ | оттогава
作	さく さ	つく.る つく.り -づく.り	Make | Production | Prepare | Build	правя | произведение | работа | подготвям
性	せい しょう	さが	Sex | Gender | Nature	природа | пол | нрав | -ост (наставка)
的	てき	まと	Bull's Eye | Mark | Target | Object | Adjective Ending	цел | мишена | наставка за прилагателни (-ически, -ен)
要	よう	い.る かなめ	Need | Main Point | Essence | Pivot | Key To	нужен | важен | същина | изисквам
用	よう	もち.いる	Utilize | Business | Service | Use | Employ	използвам | работа | нужда | служа
制	せい		System | Law | Rule	система | закон | контрол
治	じ ち	おさ.める おさ.まる なお.る なお.す	Reign | Be At Peace | Calm Down | Subdue | Quell | Govt | Cure | Heal | Rule | Conserve	управлявам | лекувам | успокоявам се
度	ど と たく	たび -た.い	Degrees | Occurrence | Time | Counter For Occurrences | Consider | Attitude	степен | път (брояч за случаи) | отношение | система
務	む	つと.める	Task | Duties	задължение | служба | работа
強	きょう ごう	つよ.い つよ.まる つよ.める し.いる こわ.い	Strong	силен | здрав | принуждавам
気	き け	いき	Spirit | Mind | Air | Atmosphere | Mood	дух | настроение | въздух | енергия
小	しょう	ちい.さい こ- お- さ-	Little | Small	малък
七	しち	なな なな.つ なの	Seven	седем
成	せい じょう	な.る な.す -な.す	Turn Into | Become | Get | Grow | Elapse | Reach	ставам | постигам | образувам се
期	き ご		Period | Time | Date | Term	период | срок | очаквам
公	こう く	おおやけ	Public | Prince | Official | Governmental	обществен | официален | княз
持	じ	も.つ -も.ち も.てる	Hold | Have	държа | имам
野	や しょ	の の-	Plains | Field | Rustic | Civilian Life	поле | равнина | прост, див
協	きょう		Co- | Cooperation	сътрудничество | съвместен
取	しゅ	と.る と.り と.り- とり -ど.り	Take | Fetch | Take Up	вземам | хващам
都	と つ	みやこ	Metropolis | Capital | All | Everything	столица | метрополия | град
和	わ お か	やわ.らぐ やわ.らげる なご.む なご.やか あ.える	Harmony | Japanese Style | Peace | Soften | Japan	хармония | мир | японски (стил) | Япония
統	とう	す.べる ほび.る	Overall | Relationship | Ruling | Governing	обединявам | система | управлявам
以	い	もっ.て	By Means Of | Because | In View Of | Compared With	посредством | от (граница) | въз основа на
機	き	はた	Loom | Mechanism | Machine | Airplane | Opportunity | Potency | Efficacy | Occasion	машина | механизъм | случай | самолет
平	へい びょう ひょう	たい.ら -だいら ひら ひら-	Even | Flat | Peace	равен | плосък | мир | спокоен
総	そう	す.べて すべ.て ふさ	General | Whole | All | Full | Total	общ | цялостен | всичко
加	か	くわ.える くわ.わる	Add | Addition | Increase | Join | Include | Canada	добавям | присъединявам се | Канада
山	さん せん	やま	Mountain	планина
思	し	おも.う おもえら.く おぼ.す	Think	мисля
家	か け	いえ や うち	House | Home | Family | Professional | Expert | Performer	къща | дом | семейство | специалист (наставка)
話	わ	はな.す はなし	Tale | Talk	говоря | разговор | разказ
世	せい せ そう	よ	Generation | World | Society | Public	свят | епоха | поколение | общество
受	じゅ	う.ける -う.け う.かる	Accept | Undergo | Answer (phone) | Take | Get | Catch | Receive	получавам | приемам | издържам (изпит)
区	く おう こう		Ward | District	район | квартал
領	りょう	えり	Jurisdiction | Dominion | Territory | Fief | Reign	територия | владение | управлявам
多	た	おお.い まさ.に まさ.る	Many | Frequent | Much	много | чест
県	けん	か.ける	Prefecture	префектура
続	ぞく しょく こう きょう	つづ.く つづ.ける つぐ.ない	Continue | Series | Sequel	продължавам | поредица
進	しん	すす.む すす.める	Advance | Proceed | Progress | Promote	напредвам | напредък | издигам
正	せい しょう	ただ.しい ただ.す まさ まさ.に	Correct | Justice | Righteous | 10**40	правилен | справедлив | точен
安	あん	やす.い やす.まる やす やす.らか	Relax | Cheap | Low | Quiet | Rested | Contented | Peaceful	спокоен | евтин | сигурност
設	せつ	もう.ける	Establishment | Provision | Prepare	установявам | създавам | оборудване
保	ほ ほう	たも.つ	Protect | Guarantee | Keep | Preserve | Sustain | Support	пазя | запазвам | гарантирам
改	かい	あらた.める あらた.まる	Reformation | Change | Modify | Mend | Renew | Examine | Inspect | Search	реформирам | променям | подобрявам
