jmdict_id	sense	headword	reading	pos	en	bg
1153930	0	安全	あんぜん	n,adj-na	safety | security	безопасност | сигурност
1154260	0	安保	あんぽ	n	security (e.g. national security)	сигурност (напр. национална сигурност)
1154260	1	安保	あんぽ	n	US-Japan Security Treaty	Японско-американски договор за сигурност
1154260	2	安保	あんぽ	n	campaign against the Japan-US Security Treaty (1959-60, 1970)	кампания срещу Японско-американския договор за сигурност (1959–60, 1970)
1155210	0	以来	いらい	n-suf	since | henceforth	от ... насам | занапред
1155210	1	以来	いらい	n,adv	ever since	оттогава насам | открай време
1156100	0	委員	いいん	n	committee member	член на комисия | член на комитет
1156110	0	委員会	いいんかい	n	committee | commission | board | panel | committee meeting	комитет | комисия | съвет
1156120	0	委員長	いいんちょう	n	chairperson (of a committee) | chair | chairman | chairwoman | president	председател (на комитет) | председателка
1156530	0	意見	いけん	n	opinion | view | comment	мнение | възглед | коментар
1156530	1	意見	いけん	n,vs,vt,vi	scolding | reprimand | rebuke | admonition | cautioning | warning	мъмрене | порицание | предупреждение
1156800	0	意味	いみ	n,vs,vt	meaning | significance | sense	значение | смисъл
1158450	0	維持	いじ	n,vs,vt	maintenance | preservation | improvement	поддържане | запазване | подобрение
1158950	0	違反	いはん	n,vs,vi	violation | offense | offence | breach | transgression | infringement | contravention	нарушение | нарушаване
1160140	0	医療	いりょう	n	medical treatment | medical care	медицинско лечение | здравна помощ
1160820	0	一つ	ひとつ	num	one	едно | един
1160820	1	一つ	ひとつ	n	for one thing	първо | за едно нещо
1160820	2	一つ	ひとつ	n	only	само
1160820	3	一つ	ひとつ	n	(not) even	дори (с отрицание)
1160820	4	一つ	ひとつ	n,adv	just (e.g. "just try it")	просто | само
1160820	5	一つ	ひとつ	adj-no	some kind of | one type of	един вид | някакъв
1162120	0	１月	いちがつ	n	January	януари
1162120	1	１月	いちがつ	n	first month of the lunar calendar	първи месец на лунния календар
1165790	0	一般	いっぱん	adj-no,n	general | universal	общ | всеобщ
1165790	1	一般	いっぱん	adj-no,n	ordinary | average | common | non-celebrity	обикновен | среден
1165790	2	一般	いっぱん	adj-no,n	the same | no different | (just) as if	същият | не по-различен
1165970	0	一番	いちばん	n,adj-no	number one | first | first place	номер едно | първи | първо място
1165970	1	一番	いちばん	adv	best | most	най- | най-добре
1165970	2	一番	いちばん	n	game | round | bout	игра | рунд | среща
1165970	3	一番	いちばん	adv	as a test | as an experiment | by way of experiment | by way of trial | tentatively	като опит | пробно
1165970	4	一番	いちばん	n	song (e.g. in noh) | piece	песен (напр. в театър но) | пиеса
1166180	0	一部	いちぶ	n,adv	one part | one portion | one section	част | дял | раздел
1166180	1	一部	いちぶ	n	one copy (of a book) | (one) complete set (of books)	екземпляр | комплект (от книги)
1166510	0	一方	いっぽう	n	one (esp. of two) | the other | one way | the other way | one direction | the other direction | one side | the other side | one party | the other party	едната страна | другата страна
1166510	1	一方	いっぽう	conj	on the one hand | on the other hand	от една страна | от друга страна
1166510	2	一方	いっぽう	conj	whereas | although | but at the same time | meanwhile | in turn	докато | същевременно | от своя страна
1166510	3	一方	いっぽう	n,n-suf,adv	just keeps | being inclined to ... | tending to be ... | tending to do ... | continuously ... | just keeps on ...ing | only	все повече | непрекъснато | само
1171010	0	右	みぎ	n,adj-no	right | right-hand side	десен | дясна страна
1171010	1	右	みぎ	n	right hand	дясна ръка
1171010	2	右	みぎ	n,adj-no	the above (in a piece of vertical writing) | above-mentioned	гореспоменатото | по-горе казаното
1171010	3	右	みぎ	n	the right (wing) | rightist	десницата | десен (политически)
1171010	4	右	みぎ	n	the better (of two)	по-добрият (от двамата)
1172910	0	運動	うんどう	n,vs,vi	exercise | physical training | workout | sports | athletics	упражнение | физическо натоварване | спорт
1172910	1	運動	うんどう	n,vs,vi	appeal | campaign | drive | crusade | movement | lobbying	кампания | движение | лобиране
1172910	2	運動	うんどう	n,vs,vi	motion | movement	движение
1173660	0	影響	えいきょう	n,vs,vi	influence | effect | impact	влияние | въздействие | ефект
1173720	0	映画	えいが	n	movie | film | motion picture	филм | кино
1176660	0	援助	えんじょ	n,vs,vt	assistance | aid | support	помощ | съдействие | подкрепа
1181190	0	欧州	おうしゅう	n	Europe	Европа
1183720	0	音楽	おんがく	n	music	музика
1189500	0	価格	かかく	n	price | value | cost	цена | стойност
1190580	0	加盟	かめい	n,vs,vi	joining (an association, agreement, etc.) | participation | affiliation | accession	присъединяване | членство | участие
1191060	0	可能	かのう	adj-na,n	possible | potential | practicable | feasible	възможен | осъществим
1191080	0	可能性	かのうせい	n	possibility | chance | likelihood | probability	възможност | вероятност | шанс
1191080	1	可能性	かのうせい	n	potential | potentiality | promise	потенциал
1191080	2	可能性	かのうせい	n	possibility (modal property of a proposition containing no logical contradiction)	модална възможност
1191320	0	夏	なつ	n,adv	summer	лято
1192150	0	家族	かぞく	n	family	семейство
1192280	0	家庭	かてい	n	home | household | family | hearth	дом | домакинство | семейство
1194500	0	花	はな	n	flower | blossom | bloom | petal	цвете | цвят
1194500	1	花	はな	n	cherry blossom	черешов цвят | сакура
1194500	2	花	はな	n	beauty	красота
1194500	3	花	はな	n	blooming (esp. of cherry blossoms)	цъфтеж
1194500	4	花	はな	n	ikebana	икебана
1194500	5	花	はな	n	hanafuda	ханафуда (японски карти за игра)
1194500	6	花	はな	n	(the) best	най-доброто | връх
1194500	7	花	はな	adj-no	glorious | lovely	славен | прекрасен
1195820	0	課題	かだい	n	subject | theme | issue | matter	тема | въпрос
1195820	1	課題	かだい	n	homework | assignment	домашна работа | задание
1195820	2	課題	かだい	n	problem (that needs solving) | task | challenge | question	задача | проблем | предизвикателство
1195820	3	課題	かだい	n	route (in climbing, bouldering, etc.) | problem	маршрут (в катерене) | проблем
1196030	0	過去	かこ	n,adv,adj-no	the past | bygone days	минало | отминали дни
1196030	1	過去	かこ	n	one's past (that one would prefer remained secret)	тъмно минало | скрито минало
1196030	2	過去	かこ	n	past (tense) | preterit | preterite	минало време
1196030	3	過去	かこ	n	previous life	предишен живот
1198230	0	会員	かいいん	n	member | the membership	член | членство
1198360	0	会議	かいぎ	n,vs,vi,vt	meeting | conference | session | assembly | council | convention | congress	заседание | конференция | събрание | съвет
1198500	0	会見	かいけん	n,vs,vi	interview | audience | meeting | (viewing) party	интервю | аудиенция | среща
1198550	0	会社	かいしゃ	n	company | corporation | firm	фирма | компания | дружество
1198550	1	会社	かいしゃ	n	one's workplace	работа (месторабота)
1198760	0	会談	かいだん	n,vs,vi	talks (i.e. formal discussions) | conference | meeting	преговори | разговори | среща
1198770	0	会長	かいちょう	n	president (of a society) | chairman	председател
1198960	0	解決	かいけつ	n,vs,vt,vi	settlement | solution | resolution	разрешаване | решение
1199720	0	回復	かいふく	n,vs,vt,vi	restoration | recovery | rehabilitation | return | improvement	възстановяване | възобновяване | подобрение
